"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"HGH1","6.0","51236","51236","0.0","0.0","","51236","false","51236","HGH1"
"MEX3C","22.0","51320","51320","6.0","2.1","Clustered","51320","false","51320","MEX3C"
"CRNKL1","20.0","51340","51340","10.0","1.0","Clustered","51340","false","51340","CRNKL1"
"EIF3L","39.0","51386","51386","2.0","9.114285714285714","Clustered","51386","false","51386","EIF3L"
"SNX9","10.0","51429","51429","6.0","2.1","Clustered","51429","false","51429","SNX9"
"ANKFY1","16.0","51479","51479","0.0","0.0","","51479","false","51479","ANKFY1"
"LARS1","36.0","51520","51520","4.0","4.090909090909091","Clustered","51520","false","51520","LARS1"
"MRPS23","29.0","51649","51649","2.0","9.114285714285714","Clustered","51649","false","51649","MRPS23"
"MRPL39","23.0","54148","54148","2.0","9.114285714285714","Clustered","54148","false","54148","MRPL39"
"DNAJC10","31.0","54431","54431","0.0","0.0","","54431","false","54431","DNAJC10"
"RNF216","1.0","54476","54476","0.0","0.0","","54476","false","54476","RNF216"
"AFTPH","2.0","54812","54812","0.0","0.0","","54812","false","54812","AFTPH"
"MRPL16","27.0","54948","54948","2.0","9.114285714285714","Clustered","54948","false","54948","MRPL16"
"PTCD3","24.0","55037","55037","2.0","9.114285714285714","Clustered","55037","false","55037","PTCD3"
"MAGOHB","26.0","55110","55110","10.0","1.0","Clustered","55110","false","55110","MAGOHB"
"TMEM33","15.0","55161","55161","6.0","2.1","Clustered","55161","false","55161","TMEM33"
"MRPS18A","22.0","55168","55168","2.0","9.114285714285714","Clustered","55168","false","55168","MRPS18A"
"RHOT1","5.0","55288","55288","0.0","0.0","","55288","false","55288","RHOT1"
"PPP6R3","27.0","55291","55291","0.0","0.0","","55291","false","55291","PPP6R3"
"CNOT11","16.0","55571","55571","4.0","4.090909090909091","Clustered","55571","false","55571","CNOT11"
"DDX27","12.0","55661","55661","0.0","0.0","","55661","false","55661","DDX27"
"IPO9","30.0","55705","55705","6.0","2.1","Clustered","55705","false","55705","IPO9"
"TENM3","4.0","55714","55714","0.0","0.0","","55714","false","55714","TENM3"
"NUP133","16.0","55746","55746","0.0","0.0","","55746","false","55746","NUP133"
"CAND1","73.0","55832","55832","5.0","2.047619047619048","Clustered","55832","false","55832","CAND1"
"UNC45A","21.0","55898","55898","5.0","2.047619047619048","Clustered","55898","false","55898","UNC45A"
"KIAA1217","10.0","56243","56243","0.0","0.0","","56243","false","56243","KIAA1217"
"CTPS2","33.0","56474","56474","3.0","2.4347826086956523","Clustered","56474","false","56474","CTPS2"
"ZC3HAV1","31.0","56829","56829","6.0","2.1","Clustered","56829","false","56829","ZC3HAV1"
"UGGT1","14.0","56886","56886","0.0","0.0","","56886","false","56886","UGGT1"
"KCMF1","8.0","56888","56888","0.0","0.0","","56888","false","56888","KCMF1"
"WRNIP1","5.0","56897","56897","0.0","0.0","","56897","false","56897","WRNIP1"
"CCDC47","19.0","57003","57003","0.0","0.0","","57003","false","57003","CCDC47"
"ANKRD50","9.0","57182","57182","0.0","0.0","","57182","false","57182","ANKRD50"
"CNOT6","17.0","57472","57472","4.0","4.090909090909091","Clustered","57472","false","57472","CNOT6"
"EPS15L1","8.0","58513","58513","0.0","0.0","","58513","false","58513","EPS15L1"
"MRPL17","27.0","63875","63875","2.0","9.114285714285714","Clustered","63875","false","63875","MRPL17"
"XPNPEP3","9.0","63929","63929","0.0","0.0","","63929","false","63929","XPNPEP3"
"TINAGL1","4.0","64129","64129","0.0","0.0","","64129","false","64129","TINAGL1"
"PJA1","7.0","64219","64219","0.0","0.0","","64219","false","64219","PJA1"
"PALS1","8.0","64398","64398","0.0","0.0","","64398","false","64398","PALS1"
"MRPS9","34.0","64965","64965","2.0","9.114285714285714","Clustered","64965","false","64965","MRPS9"
"MRPL38","33.0","64978","64978","2.0","9.114285714285714","Clustered","64978","false","64978","MRPL38"
"MRPL1","23.0","65008","65008","0.0","0.0","","65008","false","65008","MRPL1"
"MRPL44","25.0","65080","65080","2.0","9.114285714285714","Clustered","65080","false","65080","MRPL44"
"MRPS34","24.0","65993","65993","2.0","9.114285714285714","Clustered","65993","false","65993","MRPS34"
"WDR77","40.0","79084","79084","5.0","2.047619047619048","Clustered","79084","false","79084","WDR77"
"MBOAT7","6.0","79143","79143","0.0","0.0","","79143","false","79143","MBOAT7"
"EFHD2","5.0","79180","79180","0.0","0.0","","79180","false","79180","EFHD2"
"FYCO1","8.0","79443","79443","0.0","0.0","","79443","false","79443","FYCO1"
"CEP97","15.0","79598","79598","0.0","0.0","","79598","false","79598","CEP97"
"SHCBP1","2.0","79801","79801","0.0","0.0","","79801","false","79801","SHCBP1"
"BICC1","5.0","80114","80114","0.0","0.0","","80114","false","80114","BICC1"
"TARS2","4.0","80222","80222","0.0","0.0","","80222","false","80222","TARS2"
"WDCP","4.0","80304","80304","0.0","0.0","","80304","false","80304","WDCP"
"LAS1L","9.0","81887","81887","0.0","0.0","","81887","false","81887","LAS1L"
"FYTTD1","7.0","84248","84248","0.0","0.0","","84248","false","84248","FYTTD1"
"MRPL43","24.0","84545","84545","2.0","9.114285714285714","Clustered","84545","false","84545","MRPL43"
"TUBB6","41.0","84617","84617","4.0","4.090909090909091","Clustered","84617","false","84617","TUBB6"
"AJUBA","19.0","84962","84962","5.0","2.047619047619048","Clustered","84962","false","84962","AJUBA"
"PPIL4","8.0","85313","85313","0.0","0.0","","85313","false","85313","PPIL4"
"TRIM5","5.0","85363","85363","0.0","0.0","","85363","false","85363","TRIM5"
"DOCK7","18.0","85440","85440","0.0","0.0","","85440","false","85440","DOCK7"
"TNKS1BP1","22.0","85456","85456","4.0","4.090909090909091","Clustered","85456","false","85456","TNKS1BP1"
"SEC16B","10.0","89866","89866","1.0","7.3478260869565215","Clustered","89866","false","89866","SEC16B"
"ANKRD44","11.0","91526","91526","7.0","1.4210526315789473","Clustered","91526","false","91526","ANKRD44"
"SLFN11","39.0","91607","91607","0.0","0.0","","91607","false","91607","SLFN11"
"NEK9","17.0","91754","91754","0.0","0.0","","91754","false","91754","NEK9"
