"Gene_A","Gene_B","interaction","name","Name_A","Name_B","SCORE","selected","shared interaction","shared name","source","support","target","TYPE"
"7415","811","Direct","","VCP","CALR","429","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.514,experiments:0.405,coexpression:0.089"", ""InWeb_IM"": ""inference"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26344197"", ""BioGrid_Type"": ""Co-fractionation"", ""BioGrid_Score"": ""0.955396582"", ""String_Score_Physical"": 429, ""String_Score_Combined"": 747}","811","Direct"
"7415","8065","Direct","","VCP","CUL5","207","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.180,experiments:0.173,coexpression:0.101"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23383273"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 207, ""String_Score_Combined"": 416}","8065","Direct"
"7415","7965","Direct","","VCP","AIMP2","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35546148"", ""BioGrid_Type"": ""Affinity Capture-MS""}","7965","Direct"
"7415","79180","Direct","","VCP","EFHD2","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS""}","79180","Direct"
"7415","79084","Direct","","VCP","WDR77","281","false","Direct","","7415","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.251,coexpression:0.045,textmining:0.018"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""28977470"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 281, ""String_Score_Combined"": 326}","79084","Direct"
"7415","790","Direct","","VCP","CAD","294","false","Direct","","7415","{""InWeb_IM"": ""inference"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS""}","790","Direct"
"7402","91754","Direct","","UTRN","NEK9","294","false","Direct","","7402","{""InWeb_IM"": ""inference""}","91754","Direct"
"7402","8878","Direct","","UTRN","SQSTM1","208","false","Direct","","7402","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""30581152"", ""BioGrid_Type"": ""Affinity Capture-MS""}","8878","Direct"
"7402","8665","Direct","","UTRN","EIF3F","294","false","Direct","","7402","{""InWeb_IM"": ""inference""}","8665","Direct"
"7402","832","Direct","","UTRN","CAPZB","244","false","Direct","","7402","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.213,textmining:0.163"", ""String_Score_Physical"": 244, ""String_Score_Combined"": 368}","832","Direct"
"7385","9582","Direct","","UQCRC2","APOBEC3B","541","false","Direct","","7385","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.521,coexpression:0.316,textmining:0.087"", ""String_Score_Physical"": 541, ""String_Score_Combined"": 713}","9582","Direct"
"7385","8604","Direct","","UQCRC2","SLC25A12","216","false","Direct","","7385","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.182,coexpression:0.157,textmining:0.128"", ""String_Score_Physical"": 216, ""String_Score_Combined"": 424}","8604","Direct"
"7385","8218","Direct","","UQCRC2","CLTCL1","294","false","Direct","","7385","{""InWeb_IM"": ""inference""}","8218","Direct"
"7385","7965","Direct","","UQCRC2","AIMP2","208","false","Direct","","7385","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35546148"", ""BioGrid_Type"": ""Affinity Capture-MS""}","7965","Direct"
"7385","790","Direct","","UQCRC2","CAD","272","false","Direct","","7385","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.241,textmining:0.069,coexpression:0.024"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26344197"", ""BioGrid_Type"": ""Co-fractionation"", ""BioGrid_Score"": ""0.093264697"", ""String_Score_Physical"": 272, ""String_Score_Combined"": 338}","790","Direct"
"7385","7529","Direct","","UQCRC2","YWHAB","294","false","Direct","","7385","{""InWeb_IM"": ""inference""}","7529","Direct"
"7318","9100","Direct","","UBA7","USP10","650","false","Direct","","7318","{""StringDB"": ""physical"", ""StringEvidence"": ""database:0.635,textmining:0.089,coexpression:0.022"", ""String_Score_Physical"": 650, ""String_Score_Combined"": 688}","9100","Direct"
"7296","96764","Direct","","TXNRD1","TGS1","900","false","Direct","","7296","{""StringDB"": ""physical"", ""StringEvidence"": ""database:0.896,textmining:0.075,coexpression:0.022"", ""String_Score_Physical"": 900, ""String_Score_Combined"": 909}","96764","Direct"
"7296","8604","Direct","","TXNRD1","SLC25A12","208","false","Direct","","7296","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""31536960"", ""BioGrid_Type"": ""Co-fractionation"", ""BioGrid_Score"": ""1.493118271""}","8604","Direct"
"7296","857","Direct","","TXNRD1","CAV1","328","false","Direct","","7296","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.746,experiments:0.300,coexpression:0.029"", ""String_Score_Physical"": 328, ""String_Score_Combined"": 834}","857","Direct"
"7296","7415","Direct","","TXNRD1","VCP","208","false","Direct","","7296","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35562734"", ""BioGrid_Type"": ""Affinity Capture-MS""}","7415","Direct"
"7280","9631","Direct","","TUBB2A","NUP155","208","false","Direct","","7280","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34079125"", ""BioGrid_Type"": ""Proximity Label-MS"", ""BioGrid_Score"": ""4.35""}","9631","Direct"
"7280","8607","Direct","","TUBB2A","RUVBL1","208","false","Direct","","7280","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33961781"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""BioGrid_Score"": ""0.92510653""}","8607","Direct"
"7280","84617","Direct","","TUBB2A","TUBB6","300","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.587,database:0.270,coexpression:0.057"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33961781"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""BioGrid_Score"": ""0.86141852"", ""String_Score_Physical"": 300, ""String_Score_Combined"": 345}","84617","Direct"
"7280","7965","Direct","","TUBB2A","AIMP2","208","false","Direct","","7280","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35546148"", ""BioGrid_Type"": ""Affinity Capture-MS""}","7965","Direct"
"7280","79084","Direct","","TUBB2A","WDR77","292","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.263,textmining:0.009,coexpression:0.008"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""28977470"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 292, ""String_Score_Combined"": 305}","79084","Direct"
"7280","790","Direct","","TUBB2A","CAD","624","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.608,coexpression:0.027,textmining:0.027"", ""InWeb_IM"": ""inference"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""22939629"", ""BioGrid_Type"": ""Co-fractionation"", ""BioGrid_Score"": ""0.833"", ""String_Score_Physical"": 624, ""String_Score_Combined"": 644}","790","Direct"
"7280","7846","Direct","","TUBB2A","TUBA1A","997","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.987,database:0.791,textmining:0.724,coexpression:0.202"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33961781,29568061,22939629"", ""BioGrid_Type"": ""Affinity Capture-MS,Co-fractionation"", ""BioGrid_Score"": ""0.952,0.878283018"", ""String_Score_Physical"": 997, ""String_Score_Combined"": 998}","7846","Direct"
"7280","7532","Direct","","TUBB2A","YWHAG","264","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.233,textmining:0.171,coexpression:0.069"", ""String_Score_Physical"": 264, ""String_Score_Combined"": 432}","7532","Direct"
"7280","7531","Direct","","TUBB2A","YWHAE","389","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.364,textmining:0.275,coexpression:0.046"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""22863883"", ""BioGrid_Type"": ""Co-fractionation"", ""String_Score_Physical"": 389, ""String_Score_Combined"": 577}","7531","Direct"
"7280","7529","Direct","","TUBB2A","YWHAB","295","false","Direct","","7280","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.265,textmining:0.214,coexpression:0.022"", ""InWeb_IM"": ""inference"", ""String_Score_Physical"": 295, ""String_Score_Combined"": 458}","7529","Direct"
"7205","9859","Direct","","TRIP6","CEP170","208","false","Direct","","7205","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26638075"", ""BioGrid_Type"": ""Proximity Label-MS""}","9859","Direct"
"7205","9260","Direct","","TRIP6","PDLIM7","288","false","Direct","","7205","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.258,textmining:0.209,coexpression:0.081"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33961781,28514442,26186194"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""BioGrid_Score"": ""0.986812254,0.99139657,0.99526553"", ""String_Score_Physical"": 288, ""String_Score_Combined"": 404}","9260","Direct"
"7205","8994","Direct","","TRIP6","LIMD1","671","false","Direct","","7205","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.728,experiments:0.658,coexpression:0.022"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33961781,28514442,26186194"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""BioGrid_Score"": ""0.99975367,0.996757143,0.998362734"", ""String_Score_Physical"": 671, ""String_Score_Combined"": 728}","8994","Direct"
"7205","8878","Direct","","TRIP6","SQSTM1","208","false","Direct","","7205","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34079125"", ""BioGrid_Type"": ""Proximity Label-MS"", ""BioGrid_Score"": ""9.55""}","8878","Direct"
"7205","8836","Direct","","TRIP6","GGH","243","false","Direct","","7205","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.212,coexpression:0.038"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""22863883"", ""BioGrid_Type"": ""Co-fractionation"", ""String_Score_Physical"": 243, ""String_Score_Combined"": 272}","8836","Direct"
