shcGAS-1/shGFP	shcGAS-2/shGFP	shGFP	shcGAS-1	shcGAS-2
0.620139233	0.957992367	76.9503	47.7199	73.7178
0.620377268	1.028224738	483.264	299.806	496.904
0.620926522	1.218231108	4249.44	2638.59	5176.8
0.621074145	0.876369988	64.6356	40.1435	56.6447
0.621417642	0.63668769	358.807	222.969	228.448
0.621519904	0.691970104	122.5433	76.1631	84.7963
0.62197678	0.501778455	162.5006	101.0716	81.5393
0.622047768	0.858809969	314.059	195.3597	269.717
0.622211832	0.763802114	761.387	473.744	581.549
0.623164085	0.889020699	3177.98	1980.403	2825.29
0.623290402	0.714160821	37.5176	23.38436	26.7936
0.623305546	0.609149464	72.6119	45.2594	44.2315
0.623347452	1.161572092	440.305	274.463	511.446
0.623453056	0.974716907	328.955	205.088	320.638
0.624138856	0.799958063	853.661	532.803	682.893
0.624289909	1.11448812	128.6806	80.334	143.413
0.625970058	0.942614659	121.6809	76.1686	114.6982
0.62622334	0.850615171	221.402	138.6471	188.3279
0.626578238	0.882969635	1195.083	748.813	1055.222
0.626628347	1.043052097	1096.741	687.249	1143.958
0.627182899	0.978792708	104.3509	65.4471	102.1379
0.627228454	0.936626364	962.214	603.528	901.235
0.627389617	1.072954943	80.3633	50.4191	86.2262
0.628623335	0.816945609	1201.621	755.367	981.659
0.628709061	1.017215252	243.505	153.0938	247.697
0.629442865	0.827642396	285.981	180.0087	236.69
0.629673373	1.135096919	220.649	138.9368	250.458
0.629795506	1.139662013	438.301	276.04	499.515
0.630256353	1.367256756	223.13	140.6291	305.076
0.630297289	0.964169328	203.203	128.0783	195.9221
0.630302209	0.847757428	2583.64	1628.474	2190.3
0.630776997	1.027280446	909.296	573.563	934.102
0.630923996	0.419446912	377.047	237.888	158.1512
0.630948444	0.976580773	1003.876	633.394	980.366
0.630979775	1.22378025	510.617	322.189	624.883
0.631236471	0.533249053	8384.75	5292.76	4471.16
0.631255296	0.799650527	416.627	262.998	333.156
